retriever,alpha,qid,ee_d,ee_r,eu,ee_d_interval
bm25,1,31279,0.108333,0.35,0.3504700134962413,0.0-0.2
bm25,1,31280,0.113889,0.333333,0.4811314032121182,0.0-0.2
bm25,1,31281,0.105556,0.566667,0.4928920385221949,0.0-0.2
bm25,1,31282,0.111111,0.483333,0.3023178237498547,0.0-0.2
bm25,1,31283,0.1,0.2,0.14621919402125763,0.0-0.2
bm25,1,31284,0.102778,0.483333,0.45924262075664435,0.0-0.2
bm25,1,31285,0.102778,0.366667,0.45472192343193657,0.0-0.2
bm25,1,31286,0.1,0.133333,0.277315692779615,0.0-0.2
bm25,1,31287,0.111111,0.1,0.13247362427656245,0.0-0.2
bm25,1,31288,0.111111,0.383333,0.10694877137997665,0.0-0.2
bm25,1,31289,0.108333,0.35,0.226831653181016,0.0-0.2
bm25,1,31290,0.111111,0.266667,0.22934724935210551,0.0-0.2
bm25,1,31291,0.116667,0.366667,0.2466302054162123,0.0-0.2
bm25,1,31292,0.113889,0.066667,0.27711555699714524,0.0-0.2
bm25,1,31293,0.133333,0.533333,0.3683567400018602,0.0-0.2
bm25,1,31294,0.119444,0.45,0.37205771384124153,0.0-0.2
bm25,1,31295,0.113889,0.5,0.4121773466776445,0.0-0.2
bm25,1,31296,0.111111,0.433333,0.2452192438397517,0.0-0.2
bm25,1,31297,0.111111,0.2,0.14938615483101986,0.0-0.2
bm25,1,31298,0.105556,0.3,0.33637151913904834,0.0-0.2
bm25,1,31299,0.1,0.183333,0.12634582229390307,0.0-0.2
bm25,1,31300,0.105556,0.233333,0.17847022827621312,0.0-0.2
bm25,1,31301,0.108333,0.433333,0.26828286976560495,0.0-0.2
bm25,1,31302,0.097222,0.016667,0.07016675663165656,0.0-0.2
bm25,1,31303,0.105556,0.25,0.31214803614516196,0.0-0.2
bm25,1,31304,0.102778,0.366667,0.3224839526807786,0.0-0.2
bm25,1,31305,0.1,0.416667,0.4902697586751236,0.0-0.2
bm25,1,31306,0.111111,0.15,0.18261088855718557,0.0-0.2
bm25,1,31307,0.111111,0.1,0.09921446290863847,0.0-0.2
bm25,1,31308,0.105556,0.283333,0.1981268967915537,0.0-0.2
bm25,1,31309,0.113889,0.333333,0.17502821186672363,0.0-0.2
bm25,1,31310,0.108333,0.083333,0.10251164321363916,0.0-0.2
bm25,1,31311,0.1,0.333333,0.4555637396938714,0.0-0.2
bm25,1,31312,0.097222,0.416667,0.3328300321248783,0.0-0.2
bm25,1,31313,0.102778,0.283333,0.09854819943603961,0.0-0.2
bm25,1,31314,0.122222,0.35,0.14892066807915796,0.0-0.2
bm25,1,31315,0.097222,0.15,0.08112980549073404,0.0-0.2
bm25,1,31316,0.102778,0.2,0.15219449576693345,0.0-0.2
bm25,1,31317,0.1,0.083333,0.0884823461754788,0.0-0.2
bm25,1,31318,0.261111,0.157143,0.044238681370884915,0.2-0.4
bm25,1,31319,0.286111,0.157143,0.037231113025074494,0.2-0.4
bm25,1,31320,0.327778,0.433333,0.30391680968507523,0.2-0.4
bm25,1,31321,0.291667,0.95,0.296433616616587,0.2-0.4
bm25,1,31322,0.316667,0.308824,0.2116469674786992,0.2-0.4
bm25,1,31323,0.752778,0.683333,0.6420168371679493,0.6-0.8
bm25,1,31324,0.105556,0.15,0.1299392861228972,0.0-0.2
bm25,1,31325,0.1,0.016667,0.03774655757507484,0.0-0.2
bm25,1,31326,0.108333,0.0,0.04444444364592597,0.0-0.2
bm25,1,31327,0.113889,0.05,0.05014072917916457,0.0-0.2
bm25,1,31328,0.108333,0.016667,0.020454544298398852,0.0-0.2
bm25,1,31329,0.113889,0.0,0.0,0.0-0.2
bm25,1,31330,0.108333,0.183333,0.2541051750476688,0.0-0.2
bm25,1,31331,0.105556,0.05,0.13989170420273137,0.0-0.2
bm25,1,31332,0.102778,0.183333,0.27762688159702625,0.0-0.2
bm25,1,31333,0.1,0.133333,0.4162661971188226,0.0-0.2
bm25,1,31334,0.111111,0.15,0.10142169486431046,0.0-0.2
bm25,1,31335,0.097222,0.116667,0.1924818773872188,0.0-0.2
bm25,1,31336,0.1,0.216667,0.22650626934007584,0.0-0.2
bm25,1,31337,0.1,0.016667,0.02110389496978139,0.0-0.2
bm25,1,31338,0.122222,0.066667,0.127086386046083,0.0-0.2
bm25,1,31339,0.102778,0.3,0.7825042389242847,0.0-0.2
bm25,1,31340,0.113889,0.116667,0.1909817338032001,0.0-0.2
bm25,1,31341,0.105556,0.133333,0.052572012583696,0.0-0.2
bm25,1,31342,0.108333,0.083333,0.11594129837365073,0.0-0.2
bm25,1,31343,0.102778,0.066667,0.0,0.0-0.2
